"data__propertyLookup__address__slug","data__propertyLookup__address__fullAddress","data__propertyLookup__address__hcAddressId","data__propertyLookup__address__streetAddress","data__propertyLookup__address__unit","data__propertyLookup__address__city","data__propertyLookup__address__state","data__propertyLookup__address__zipcode","data__propertyLookup__address__zipcodePlus4","data__propertyLookup__avm__priceUpper","data__propertyLookup__avm__priceLower","data__propertyLookup__avm__fsd","data__propertyLookup__avm__quality","data__propertyLookup__avm__priceMean","data__propertyLookup__livingSpace__bedrooms__count","data__propertyLookup__livingSpace__bathrooms__summaryCount","data__propertyLookup__rentalAvm__priceMean","data__propertyLookup__rentalAvm__priceUpper","data__propertyLookup__rentalAvm__priceLower","data__propertyLookup__rentalAvm__fsd","data__propertyLookup__rentalAvm__quality","data__propertyLookup__rentalYield","data__propertyLookup__latestAssessment__taxSummary__amount","data__propertyLookup__latestAssessment__taxSummary__year"
"138-W-73rd-St-Chicago-IL-60621","138 W 73rd St Chicago IL 60621",47564667,"138 W 73rd St","","Chicago","IL","60621","3543",168591,84491,0.3323034,"LOW",126541,,,,,,,,,,
"138-W-75th-St-Chicago-IL-60621","138 W 75th St Chicago IL 60621",45114542,"138 W 75th St","","Chicago","IL","60621","3471",,,,,,,,,,,,,,,
"138-W-Marquette-Rd-Chicago-IL-60621","138 W Marquette Rd Chicago IL 60621",63497446,"138 W Marquette Rd","","Chicago","IL","60621","3748",460015,234505,0.3246991,"LOW",347260,,,1911,3078,745,0.6104134,"LOW",0.066,,2021
"139-W-66TH-ST-CHICAGO-IL-60621","139 W 66TH ST CHICAGO IL 60621",65592878,"139 W 66TH ST","","CHICAGO","IL","60621","",,,,,,,,,,,,,,,
"139-W-71st-St-Chicago-IL-60621","139 W 71st St Chicago IL 60621",31200547,"139 W 71st St","","Chicago","IL","60621","3618",146583,97193,0.202604,"LOW",121888,3,2,2014,2389,1641,0.1857001,"LOW",0.1983,603.27,2021
"139-W-74th-St-Chicago-IL-60621","139 W 74th St Chicago IL 60621",35488351,"139 W 74th St","","Chicago","IL","60621","3447",322040,190966,0.2555019,"LOW",256503,,,2083,2731,1437,0.3106097,"LOW",0.0974,2613.97,2021
"139-W-Marquette-Rd-Chicago-IL-60621","139 W Marquette Rd Chicago IL 60621",183964514,"139 W Marquette Rd","","Chicago","IL","60621","3747",,,,,,,,,,,,,,,
"14-W-59th-St-Chicago-IL-60621","14 W 59th St Chicago IL 60621",59346758,"14 W 59th St","","Chicago","IL","60621","3902",,,,,,,,,,,,,,,
"14-W-65th-St-Chicago-IL-60621","14 W 65th St Chicago IL 60621",41873275,"14 W 65th St","","Chicago","IL","60621","3815",,,,,,,,,,,,,,,
"140-W-66th-St-Chicago-IL-60621","140 W 66th St Chicago IL 60621",11681463,"140 W 66th St","","Chicago","IL","60621","3857",348071,166751,0.3521994,"LOW",257411,,,,,,,,,2211.82,2021
"140-W-68th-St-Chicago-IL-60621","140 W 68th St Chicago IL 60621",37362537,"140 W 68th St","","Chicago","IL","60621","3744",203051,105209,0.3174009,"LOW",154130,,,1602,2048,1157,0.2780899,"LOW",0.1247,,
"140-W-70th-St-Chicago-IL-60621","140 W 70th St Chicago IL 60621",39071541,"140 W 70th St","","Chicago","IL","60621","3646",684376,368996,0.2994004,"LOW",526686,,,,,,,,,1709.07,2021
"140-W-75th-St-Chicago-IL-60621","140 W 75th St Chicago IL 60621",41633021,"140 W 75th St","","Chicago","IL","60621","3471",313625,207953,0.2026006,"LOW",260789,,,1726,2219,1235,0.2850521,"LOW",0.0794,2672.5,2021
"141-W-Marquette-Rd-Chicago-IL-60621","141 W Marquette Rd Chicago IL 60621",55610620,"141 W Marquette Rd","","Chicago","IL","60621","3747",650189,541069,0.0916006,"HIGH",595629,,,,,,,,,3820.5,2021
"143-W-71st-St-Chicago-IL-60621","143 W 71st St Chicago IL 60621",178393,"143 W 71st St","","Chicago","IL","60621","3618",111432,86582,0.1254962,"LOW",99007,4,2.5,1594,1936,1254,0.2139272,"LOW",0.1932,11.79,2021
"143-W-74th-St-Chicago-IL-60621","143 W 74th St Chicago IL 60621",20698931,"143 W 74th St","","Chicago","IL","60621","3447",198615,123995,0.231301,"LOW",161305,,,1523,2725,322,0.7889035,"LOW",0.1133,3016.13,2021
"144-W-66th-St-Chicago-IL-60621","144 W 66th St Chicago IL 60621",187019275,"144 W 66th St","","Chicago","IL","60621","3842",208281,93641,0.3797007,"LOW",150961,12,5,1911,2288,1535,0.1970173,"LOW",0.1519,,
"144-W-74th-St-Chicago-IL-60621","144 W 74th St Chicago IL 60621",18181506,"144 W 74th St","","Chicago","IL","60621","3448",183322,37974,0.6568036,"LOW",110648,6,3,1837,2412,1263,0.3127382,"LOW",0.1992,2010.71,2021
"144-W-75th-St-Chicago-IL-60621","144 W 75th St Chicago IL 60621",52769623,"144 W 75th St","","Chicago","IL","60621","3455",313625,207953,0.2026006,"LOW",260789,,,1732,2226,1239,0.2849307,"LOW",0.0797,2672.3,2021
"144-W-Marquette-Rd-Chicago-IL-60621","144 W Marquette Rd Chicago IL 60621",33076751,"144 W Marquette Rd","","Chicago","IL","60621","3748",143944,55618,0.4425993,"LOW",99781,3,1,1593,1854,1332,0.1638418,"LOW",0.1916,502.14,2021
"145-W-71st-St-Chicago-IL-60621","145 W 71st St Chicago IL 60621",18149648,"145 W 71st St","","Chicago","IL","60621","3618",224018,104430,0.3641003,"LOW",164224,,,1863,2405,1323,0.2903918,"LOW",0.1361,2010.71,2021
"145-W-74th-St-Chicago-IL-60621","145 W 74th St Chicago IL 60621",36625284,"145 W 74th St","","Chicago","IL","60621","3447",,,,,,,,,,,,,,,
"146-W-66th-St-Chicago-IL-60621","146 W 66th St Chicago IL 60621",26002021,"146 W 66th St","","Chicago","IL","60621","3842",,,,,,12,4,1778,2631,925,0.4797525,"LOW",0.0553,2412.86,2021
"146-W-70th-St-Chicago-IL-60621","146 W 70th St Chicago IL 60621",51114686,"146 W 70th St","","Chicago","IL","60621","3646",186811,94785,0.3268015,"LOW",140798,,,1483,1881,1085,0.2683749,"LOW",0.1264,34.09,2021
"146-W-75th-St-Chicago-IL-60621","146 W 75th St Chicago IL 60621",24467747,"146 W 75th St","","Chicago","IL","60621","3471",321998,218086,0.1923997,"LOW",270042,,,1750,2238,1262,0.2788571,"LOW",0.0778,1974.54,2021
"147-W-71st-St-Chicago-IL-60621","147 W 71st St Chicago IL 60621",9983442,"147 W 71st St","","Chicago","IL","60621","3618",147187,53163,0.4692987,"LOW",100175,6,2,1381,2118,644,0.5336713,"LOW",0.1654,838.26,2021
"148-W-66th-St-Chicago-IL-60621","148 W 66th St Chicago IL 60621",8677554,"148 W 66th St","","Chicago","IL","60621","3842",223607,125533,0.2809016,"LOW",174570,,,1723,2180,1268,0.2646547,"LOW",0.1184,,
"148-W-74th-St-Chicago-IL-60621","148 W 74th St Chicago IL 60621",13654017,"148 W 74th St","","Chicago","IL","60621","3448",275544,148500,0.299601,"LOW",212022,,,2006,2523,1489,0.2577268,"LOW",0.1135,35.36,2021
"150-W-70th-St-Chicago-IL-60621","150 W 70th St Chicago IL 60621",59035164,"150 W 70th St","","Chicago","IL","60621","3646",108022,32678,0.535494,"LOW",70350,3,1.5,1644,1878,1411,0.1420316,"LOW",0.2804,,2021
"152-W-75th-St-Chicago-IL-60621","152 W 75th St Chicago IL 60621",54874299,"152 W 75th St","","Chicago","IL","60621","3471",345118,233890,0.192101,"LOW",289504,,,1695,2176,1216,0.2831858,"LOW",0.0703,2168.15,2021
"154-W-70th-St-Chicago-IL-60621","154 W 70th St Chicago IL 60621",3152108,"154 W 70th St","","Chicago","IL","60621","3646",,,,,,,,,,,,,,,
"154-W-74th-St-Chicago-IL-60621","154 W 74th St Chicago IL 60621",11130573,"154 W 74th St","","Chicago","IL","60621","3448",279919,172073,0.2386016,"LOW",225996,6,2,1830,2303,1358,0.2581967,"LOW",0.0972,,
"156-W-70th-St-Chicago-IL-60621","156 W 70th St Chicago IL 60621",42550245,"156 W 70th St","","Chicago","IL","60621","3646",112446,62106,0.2883954,"LOW",87276,4,2,1953,2333,1574,0.1943164,"LOW",0.2685,603.06,2021
"157-W-74th-St-Chicago-IL-60621","157 W 74th St Chicago IL 60621",36614544,"157 W 74th St","","Chicago","IL","60621","3447",263155,137081,0.3149992,"LOW",200118,,,1982,2621,1345,0.3218971,"LOW",0.1188,737.74,2021
"158-W-74th-St-Chicago-IL-60621","158 W 74th St Chicago IL 60621",27012872,"158 W 74th St","","Chicago","IL","60621","3448",259582,124386,0.3521023,"LOW",191984,,,2003,2548,1459,0.2718422,"LOW",0.1252,168.56,2021
"158-W-75th-St-Chicago-IL-60621","158 W 75th St Chicago IL 60621",37793148,"158 W 75th St","","Chicago","IL","60621","3471",,,,,,,,,,,,,,,
"159-W-74th-St-Chicago-IL-60621","159 W 74th St Chicago IL 60621",27782081,"159 W 74th St","","Chicago","IL","60621","3447",338628,166184,0.3416004,"LOW",252406,,,2037,2682,1394,0.3161512,"LOW",0.0968,2613.97,2021
"160-W-70th-St-Chicago-IL-60621","160 W 70th St Chicago IL 60621",16200092,"160 W 70th St","","Chicago","IL","60621","3646",106997,54875,0.3219952,"LOW",80936,4,1,1560,1786,1335,0.1445513,"LOW",0.2313,445.02,2021
"162-W-74th-St-Chicago-IL-60621","162 W 74th St Chicago IL 60621",32587175,"162 W 74th St","","Chicago","IL","60621","3448",276176,143576,0.3159008,"LOW",209876,,,2016,2550,1483,0.2646329,"LOW",0.1153,1562.48,2021
"164-W-70th-St-Chicago-IL-60621","164 W 70th St Chicago IL 60621",56116569,"164 W 70th St","","Chicago","IL","60621","3646",74130,19010,0.5917973,"LOW",46570,,1,1372,1585,1160,0.1548834,"LOW",0.3535,3016.13,2021
"168-W-74th-St-Chicago-IL-60621","168 W 74th St Chicago IL 60621",40525373,"168 W 74th St","","Chicago","IL","60621","3448",,,,,,,,,,,,,,,
"18-W-65th-St-Chicago-IL-60621","18 W 65th St Chicago IL 60621",22837860,"18 W 65th St","","Chicago","IL","60621","3815",,,,,,,,,,,,,,,
"200-W-75th-St-Chicago-IL-60621","200 W 75th St Chicago IL 60621",10801858,"200 W 75th St","","Chicago","IL","60621","3434",,,,,,,,,,,,,,,
"206-W-75th-St-Chicago-IL-60621","206 W 75th St Chicago IL 60621",25504453,"206 W 75th St","","Chicago","IL","60621","3434",,,,,,,,,,,,,,,
