"data__propertyLookup__address__slug","data__propertyLookup__address__fullAddress","data__propertyLookup__address__hcAddressId","data__propertyLookup__address__streetAddress","data__propertyLookup__address__unit","data__propertyLookup__address__city","data__propertyLookup__address__state","data__propertyLookup__address__zipcode","data__propertyLookup__address__zipcodePlus4","data__propertyLookup__avm__priceUpper","data__propertyLookup__avm__priceLower","data__propertyLookup__avm__fsd","data__propertyLookup__avm__quality","data__propertyLookup__avm__priceMean","data__propertyLookup__livingSpace__bedrooms__count","data__propertyLookup__livingSpace__bathrooms__summaryCount","data__propertyLookup__rentalAvm__priceMean","data__propertyLookup__rentalAvm__priceUpper","data__propertyLookup__rentalAvm__priceLower","data__propertyLookup__rentalAvm__fsd","data__propertyLookup__rentalAvm__quality","data__propertyLookup__rentalYield","data__propertyLookup__latestAssessment__taxSummary__amount","data__propertyLookup__latestAssessment__taxSummary__year"
"1118-W-71st-St-Chicago-IL-60621","1118 W 71st St Chicago IL 60621",30733959,"1118 W 71st St","","Chicago","IL","60621","1002",,,,,,,,,,,,,,,
"1119-W-Garfield-Blvd-Chicago-IL-60621","1119 W Garfield Blvd Chicago IL 60621",52514162,"1119 W Garfield Blvd","","Chicago","IL","60621","1518",503932,388536,0.1292999,"LOW",446234,11,4,2910,4006,1815,0.3764605,"LOW",0.0783,2412.86,2021
"1119-W-Marquette-Rd-Chicago-IL-60621","1119 W Marquette Rd Chicago IL 60621",64020507,"1119 W Marquette Rd","","Chicago","IL","60621","1217",94564,29292,0.5269991,"LOW",61928,2,1,1197,1432,964,0.1954887,"LOW",0.2319,,2021
"1121-W-71st-St-Chicago-IL-60621","1121 W 71st St Chicago IL 60621",47964600,"1121 W 71st St","","Chicago","IL","60621","1001",115720,63344,0.2924988,"LOW",89532,5,2.5,1912,2362,1464,0.2348326,"LOW",0.2563,1507.96,2021
"1121-W-Garfield-Blvd-Chicago-IL-60621","1121 W Garfield Blvd Chicago IL 60621",50568048,"1121 W Garfield Blvd","","Chicago","IL","60621","1528",,,,,,,,,,,,,,,
"1122-W-63rd-St-Chicago-IL-60621","1122 W 63rd St Chicago IL 60621",44564897,"1122 W 63rd St","","Chicago","IL","60621","1316",193841,101041,0.3147022,"LOW",147441,,,1669,2257,1082,0.3520072,"LOW",0.1358,703.59,2021
"1123-W-63rd-St-Chicago-IL-60621","1123 W 63rd St Chicago IL 60621",53322723,"1123 W 63rd St","","Chicago","IL","60621","1345",,,,,,,,,,,,,,,
"1123-W-Marquette-Rd-Chicago-IL-60621","1123 W Marquette Rd Chicago IL 60621",63998376,"1123 W Marquette Rd","","Chicago","IL","60621","1217",83126,23384,0.5609051,"LOW",53255,2,1,1448,1698,1198,0.1726519,"LOW",0.3263,804.18,2021
"1124-W-63rd-St-Chicago-IL-60621","1124 W 63rd St Chicago IL 60621",19492666,"1124 W 63rd St","","Chicago","IL","60621","1316",,,,,,,,,,,,,,,
"1124-W-71st-St-Chicago-IL-60621","1124 W 71st St Chicago IL 60621",29565676,"1124 W 71st St","","Chicago","IL","60621","1002",108715,24075,0.6373974,"LOW",66395,,,1090,1559,623,0.4293578,"LOW",0.197,,
"1124-W-Marquette-Rd-Chicago-IL-60621","1124 W Marquette Rd Chicago IL 60621",23828871,"1124 W Marquette Rd","","Chicago","IL","60621","1218",,,,,,,,,,,,,,,
"1125-W-59th-St-Chicago-IL-60621","1125 W 59th St Chicago IL 60621",39557758,"1125 W 59th St","","Chicago","IL","60621","1423",93330,27996,0.5384996,"LOW",60663,,,,,,,,,2010.91,2021
"1125-W-71st-St-Chicago-IL-60621","1125 W 71st St Chicago IL 60621",17234108,"1125 W 71st St","","Chicago","IL","60621","1001",,,,,,,,,,,,,,,
"1125-W-Garfield-Blvd-Chicago-IL-60621","1125 W Garfield Blvd Chicago IL 60621",13076824,"1125 W Garfield Blvd","","Chicago","IL","60621","1528",417156,297030,0.1681999,"LOW",357093,,,2717,4048,1387,0.4896945,"LOW",0.0913,2613.97,2021
"1127-W-Marquette-Rd-Chicago-IL-60621","1127 W Marquette Rd Chicago IL 60621",17728619,"1127 W Marquette Rd","","Chicago","IL","60621","1217",,,,,,,,,,,,,,,
"1132-W-Marquette-Rd-Chicago-IL-60621","1132 W Marquette Rd Chicago IL 60621",58119792,"1132 W Marquette Rd","","Chicago","IL","60621","1218",706785,404425,0.2720998,"LOW",555605,,,1628,2143,1115,0.3157248,"LOW",0.0352,12056.61,2021
"1133-W-71st-St-Chicago-IL-60621","1133 W 71st St Chicago IL 60621",148994566,"1133 W 71st St","","Chicago","IL","60621","1001",109219,21715,0.6683062,"LOW",65467,,,1114,1602,627,0.4376122,"LOW",0.2042,,
"1134-W-61st-St-Chicago-IL-60621","1134 W 61st St Chicago IL 60621",63449930,"1134 W 61st St","","Chicago","IL","60621","1457",,,,,,,,,,,,,,,
"1134-W-Marquette-Rd-Chicago-IL-60621","1134 W Marquette Rd Chicago IL 60621",181575134,"1134 W Marquette Rd","","Chicago","IL","60621","1244",,,,,,,,,,,,,,,
"1135-W-59th-St-Chicago-IL-60621","1135 W 59th St Chicago IL 60621",15910677,"1135 W 59th St","","Chicago","IL","60621","1452",,,,,,,,,,,,,,,
"1135-W-61st-St-Chicago-IL-60621","1135 W 61st St Chicago IL 60621",886416,"1135 W 61st St","","Chicago","IL","60621","1449",,,,,,,,,,,,,,,
"1135-W-71st-St-Chicago-IL-60621","1135 W 71st St Chicago IL 60621",65840259,"1135 W 71st St","","Chicago","IL","60621","1048",,,,,,,,,,,,,,,
"1135-W-Garfield-Blvd-Chicago-IL-60621","1135 W Garfield Blvd Chicago IL 60621",34183243,"1135 W Garfield Blvd","","Chicago","IL","60621","1500",450056,352540,0.1215007,"LOW",401298,,,1650,2110,1190,0.2787879,"LOW",0.0493,12486.15,2021
